hidden_dim, num_layers, lr, epochs, number_systems, loss
4, 8, 0.02, 100, 20, 0.0022504745007609016
4, 8, 0.02, 200, 5, 0.0019512540035066194
4, 8, 0.02, 200, 10, 0.002143717695798841
4, 8, 0.02, 200, 20, 0.0010121224317117595
4, 8, 0.02, 500, 5, 0.0017747283134667668
4, 8, 0.02, 500, 10, 0.001829509934395901
4, 8, 0.02, 500, 20, 0.0024290870802360586
4, 8, 0.02, 1000, 5, 0.0004430995264556259
4, 8, 0.02, 1000, 10, 0.002354258046216273
4, 8, 0.02, 1000, 20, 0.001061251151986653
4, 8, 0.001, 100, 5, 0.0011862810666571021
4, 8, 0.001, 100, 10, 0.0013803056608594488
4, 8, 0.001, 100, 20, 0.0006814806696638698
4, 8, 0.001, 200, 5, 0.0028911998097100877
4, 8, 0.001, 200, 10, 0.0013595217227702961
4, 8, 0.001, 200, 20, 0.0008033729667658917
4, 8, 0.001, 500, 5, 0.0005336720561899711
4, 8, 0.001, 500, 10, 0.0004513982115895487
4, 8, 0.001, 500, 20, 0.0011586841195821763
4, 8, 0.001, 1000, 5, 0.0015249697884428316
4, 8, 0.001, 1000, 10, 0.0006789896840928122
4, 8, 0.001, 1000, 20, 0.00113372057385277
4, 8, 0.1, 100, 5, 0.002322971799003426
4, 8, 0.1, 100, 10, 0.0015171355989878066
4, 8, 0.1, 100, 20, 0.0006569115401362069
4, 8, 0.1, 200, 5, 0.0026150873834467347
4, 8, 0.1, 200, 10, 0.0021059377020719696
4, 8, 0.1, 200, 20, 0.0007194684102614701
4, 8, 0.1, 500, 5, 0.0009060654409950075
4, 8, 0.1, 500, 10, 0.0004975123421900208
4, 8, 0.1, 500, 20, 0.0005230236587522086
4, 8, 0.1, 1000, 5, 0.000522466726397397
4, 8, 0.1, 1000, 10, 0.014137082797969925
4, 8, 0.1, 1000, 20, 0.002305036412917616
8, 2, 0.01, 100, 5, 0.0022392105442122557
8, 2, 0.01, 100, 10, 0.0006639188140979968
8, 2, 0.01, 100, 20, 0.0018268021645781118
8, 2, 0.01, 200, 5, 0.002921063959001913
8, 2, 0.01, 200, 10, 0.0008653875222080388
8, 2, 0.01, 200, 20, 0.00030270876177382886
8, 2, 0.01, 500, 5, 0.009362210661129211
8, 2, 0.01, 500, 10, 0.00031742646679049357
8, 2, 0.01, 500, 20, 0.0023295011421396337
8, 2, 0.01, 1000, 5, 0.0007169475793489255
8, 2, 0.01, 1000, 10, 0.0021808196885103825
8, 2, 0.01, 1000, 20, 0.00800494096474722
8, 2, 0.005, 100, 5, 0.0011953012639423833
8, 2, 0.005, 100, 10, 0.0026012113583419707
8, 2, 0.005, 100, 20, 0.0012056903869961388
8, 2, 0.005, 200, 5, 0.0015855811971960065
8, 2, 0.005, 200, 10, 0.001958752519385598
8, 2, 0.005, 200, 20, 0.002213640386071347
8, 2, 0.005, 500, 5, 0.0011742009688532561
8, 2, 0.005, 500, 10, 0.0002315636813364108
8, 2, 0.005, 500, 20, 0.0011550758990779286
8, 2, 0.005, 1000, 5, 0.0017571405925991713
8, 2, 0.005, 1000, 10, 0.0020088692312128843
8, 2, 0.005, 1000, 20, 0.005929220476537012
8, 2, 0.02, 100, 5, 0.0011168118800924276
8, 2, 0.02, 100, 10, 0.0005429469762020745
8, 2, 0.02, 100, 20, 0.0008552662412512291
8, 2, 0.02, 200, 5, 0.0003106422329437919
8, 2, 0.02, 200, 10, 0.0008499125455273315
8, 2, 0.02, 200, 20, 0.002590818536555162
8, 2, 0.02, 500, 5, 0.0007576632589916699
8, 2, 0.02, 500, 10, 0.0007992735712832655
8, 2, 0.02, 500, 20, 0.004076368028472643
